"species","source","ID","lon","lat"
"Quercus chapmanii","BISON",37129,-82.6081314086914,28.2501659393311
"Quercus chapmanii","BISON",37130,-84.8742980957031,29.7696704864502
"Quercus chapmanii","BISON",37131,-81.3546676635742,29.196870803833
"Quercus chapmanii","BISON",37132,-81.5833435058594,29.1324100494385
"Quercus chapmanii","BISON",37133,-82.4401702880859,30.1961994171143
"Quercus chapmanii","BISON",37134,-82.2966995239258,29.0303497314453
"Quercus chapmanii","BISON",37135,-82.2921142578125,29.0364170074463
"Quercus chapmanii","BISON",37136,-82.2905349731445,27.2903671264648
"Quercus chapmanii","BISON",37137,-83.0210494995117,29.4569492340088
"Quercus chapmanii","BISON",37138,-82.9811782836914,29.2060794830322
"Quercus chapmanii","BISON",37139,-81.5367889404297,27.6974010467529
"Quercus chapmanii","BISON",37140,-81.8120727539062,29.1261787414551
"Quercus chapmanii","BISON",37141,-86.7702713012695,30.4180793762207
"Quercus chapmanii","BISON",37142,-85.2926330566406,29.7030506134033
"Quercus chapmanii","BISON",37143,-84.8754272460938,29.7700004577637
"Quercus chapmanii","BISON",37144,-83.1990661621094,29.3950157165527
"Quercus chapmanii","BISON",37145,-81.896240234375,29.2913703918457
"Quercus chapmanii","BISON",37146,-86.2940673828125,30.3739490509033
"Quercus chapmanii","BISON",37147,-86.1456985473633,30.344030380249
"Quercus chapmanii","BISON",37148,-84.5362701416016,30.2310161590576
"Quercus chapmanii","BISON",37149,-83.1994857788086,29.3952159881592
"Quercus chapmanii","BISON",37150,-83.0192184448242,29.4572200775146
"Quercus chapmanii","BISON",37151,-82.9970703125,29.2052307128906
"Quercus chapmanii","BISON",37152,-82.9600982666016,29.4993495941162
"Quercus chapmanii","BISON",37153,-82.6210784912109,29.3143692016602
"Quercus chapmanii","BISON",37154,-82.5951538085938,28.2467708587646
"Quercus chapmanii","BISON",37155,-82.5748825073242,29.9162998199463
"Quercus chapmanii","BISON",37156,-82.5698776245117,29.9139995574951
"Quercus chapmanii","BISON",37157,-82.4403305053711,30.1980495452881
"Quercus chapmanii","BISON",37158,-82.4401702880859,30.1962032318115
"Quercus chapmanii","BISON",37159,-81.9433670043945,29.1575202941895
"Quercus chapmanii","BISON",37160,-81.89306640625,29.281120300293
"Quercus chapmanii","BISON",37161,-82.6243515014648,29.2418994903564
"Quercus chapmanii","BISON",37162,-82.5904998779297,29.1223201751709
"Quercus chapmanii","BISON",37163,-81.904167175293,29.4052791595459
"Quercus chapmanii","BISON",37164,-81.7872009277344,29.106840133667
"Quercus chapmanii","BISON",37165,-81.7714462280273,29.2260055541992
"Quercus chapmanii","BISON",37166,-81.7708969116211,29.2220001220703
"Quercus chapmanii","BISON",37167,-81.7708892822266,29.2220001220703
"Quercus chapmanii","BISON",37168,-81.6578826904297,29.2182369232178
"Quercus chapmanii","BISON",37169,-81.6570205688477,29.1185894012451
"Quercus chapmanii","BISON",37170,-81.5833358764648,29.1324081420898
"Quercus chapmanii","BISON",37171,-81.4965362548828,28.741117477417
"Quercus chapmanii","BISON",37172,-81.4603805541992,28.7657661437988
"Quercus chapmanii","BISON",37173,-81.4063034057617,28.0668201446533
"Quercus chapmanii","BISON",37174,-81.2634506225586,29.6775493621826
"Quercus chapmanii","BISON",37175,-81.1714477539062,29.2088508605957
"Quercus chapmanii","BISON",37176,-81.0723190307617,27.9826202392578
"Quercus chapmanii","BISON",37177,-81.9039764404297,29.4055309295654
"Quercus chapmanii","BISON",37178,-81.8120727539062,29.1261806488037
"Quercus chapmanii","BISON",37179,-81.7714462280273,29.2259998321533
"Quercus chapmanii","BISON",37180,-81.6570129394531,29.1185913085938
"Quercus chapmanii","BISON",37181,-81.6001892089844,29.1592464447021
"Quercus chapmanii","BISON",37182,-81.595573425293,29.1165866851807
"Quercus chapmanii","BISON",37183,-81.595573425293,29.1165904998779
"Quercus chapmanii","BISON",37184,-81.4977722167969,28.7464809417725
"Quercus chapmanii","BISON",37185,-81.3461532592773,29.1841163635254
"Quercus chapmanii","BISON",37186,-81.3292770385742,27.74587059021
"Quercus chapmanii","BISON",37187,-81.3286514282227,27.7421798706055
"Quercus chapmanii","BISON",37188,-81.2747802734375,29.6736698150635
"Quercus chapmanii","BISON",37189,-81.2104797363281,27.6175804138184
"Quercus chapmanii","BISON",37190,-81.1891479492188,29.2354831695557
"Quercus chapmanii","BISON",37191,-80.1501998901367,27.1072006225586
"Quercus chapmanii","BISON",37192,-81.0808029174805,29.3075008392334
"Quercus chapmanii","BISON",37193,-83.3711013793945,29.6989002227784
"Quercus chapmanii","BISON",37194,-82.3880996704102,28.073600769043
"Quercus chapmanii","BISON",37195,-81.5770034790039,27.6664009094238
"Quercus chapmanii","BISON",37198,-82.2680969238281,27.1007995605469
"Quercus chapmanii","BISON",37199,-80.8563995361328,28.6494007110596
"Quercus chapmanii","BISON",37200,-82.0400009155273,29.2108001708984
"Quercus chapmanii","BISON",37201,-82.2818984985352,27.0641994476318
"Quercus chapmanii","BISON",37202,-87.1406021118164,30.3694000244141
"Quercus chapmanii","BISON",37203,-82.9816970825195,29.4750003814697
"Quercus chapmanii","BISON",37204,-81.7683029174805,29.2143001556396
"Quercus chapmanii","BISON",37205,-81.5858001708984,27.846700668335
"Quercus chapmanii","BISON",37206,-82.6372985839844,29.1592998504639
"Quercus chapmanii","BISON",37207,-83.111701965332,29.3500003814697
"Quercus chapmanii","BISON",37208,-81.4403991699219,30.0953998565674
"Quercus chapmanii","BISON",37209,-81.5126953125,27.5463047027588
"Quercus chapmanii","BISON",37210,-81.5126419067383,27.5463523864746
