All,County,Short,District,State
"Mills County, Iowa",Mills County,Mills,County,Iowa
"Mitchell County, Iowa",Mitchell County,Mitchell,County,Iowa
"Monona County, Iowa",Monona County,Monona,County,Iowa
"Monroe County, Iowa",Monroe County,Monroe,County,Iowa
"Montgomery County, Iowa",Montgomery County,Montgomery,County,Iowa
"Muscatine County, Iowa",Muscatine County,Muscatine,County,Iowa
"O'Brien County, Iowa",O'Brien County,O'Brien,County,Iowa
"Osceola County, Iowa",Osceola County,Osceola,County,Iowa
"Page County, Iowa",Page County,Page,County,Iowa
"Palo Alto County, Iowa",Palo Alto County,Palo Alto,County,Iowa
"Plymouth County, Iowa",Plymouth County,Plymouth,County,Iowa
"Pocahontas County, Iowa",Pocahontas County,Pocahontas,County,Iowa
"Polk County, Iowa",Polk County,Polk,County,Iowa
"Pottawattamie County, Iowa",Pottawattamie County,Pottawattamie,County,Iowa
"Poweshiek County, Iowa",Poweshiek County,Poweshiek,County,Iowa
"Ringgold County, Iowa",Ringgold County,Ringgold,County,Iowa
"Sac County, Iowa",Sac County,Sac,County,Iowa
"Scott County, Iowa",Scott County,Scott,County,Iowa
"Shelby County, Iowa",Shelby County,Shelby,County,Iowa
"Sioux County, Iowa",Sioux County,Sioux,County,Iowa
"Story County, Iowa",Story County,Story,County,Iowa
"Tama County, Iowa",Tama County,Tama,County,Iowa
"Taylor County, Iowa",Taylor County,Taylor,County,Iowa
"Union County, Iowa",Union County,Union,County,Iowa
"Van Buren County, Iowa",Van Buren County,Van Buren,County,Iowa
"Wapello County, Iowa",Wapello County,Wapello,County,Iowa
"Warren County, Iowa",Warren County,Warren,County,Iowa
"Washington County, Iowa",Washington County,Washington,County,Iowa
"Wayne County, Iowa",Wayne County,Wayne,County,Iowa
"Webster County, Iowa",Webster County,Webster,County,Iowa
"Winnebago County, Iowa",Winnebago County,Winnebago,County,Iowa
"Winneshiek County, Iowa",Winneshiek County,Winneshiek,County,Iowa
"Woodbury County, Iowa",Woodbury County,Woodbury,County,Iowa
"Worth County, Iowa",Worth County,Worth,County,Iowa
"Wright County, Iowa",Wright County,Wright,County,Iowa
"Allen County, Kansas",Allen County,Allen,County,Kansas
"Anderson County, Kansas",Anderson County,Anderson,County,Kansas
"Atchison County, Kansas",Atchison County,Atchison,County,Kansas
"Barber County, Kansas",Barber County,Barber,County,Kansas
"Barton County, Kansas",Barton County,Barton,County,Kansas
"Bourbon County, Kansas",Bourbon County,Bourbon,County,Kansas
"Brown County, Kansas",Brown County,Brown,County,Kansas
"Butler County, Kansas",Butler County,Butler,County,Kansas
"Chase County, Kansas",Chase County,Chase,County,Kansas
"Chautauqua County, Kansas",Chautauqua County,Chautauqua,County,Kansas
"Cherokee County, Kansas",Cherokee County,Cherokee,County,Kansas
"Cheyenne County, Kansas",Cheyenne County,Cheyenne,County,Kansas
"Clark County, Kansas",Clark County,Clark,County,Kansas
"Clay County, Kansas",Clay County,Clay,County,Kansas
"Cloud County, Kansas",Cloud County,Cloud,County,Kansas
"Coffey County, Kansas",Coffey County,Coffey,County,Kansas
"Comanche County, Kansas",Comanche County,Comanche,County,Kansas
"Cowley County, Kansas",Cowley County,Cowley,County,Kansas
"Crawford County, Kansas",Crawford County,Crawford,County,Kansas
"Decatur County, Kansas",Decatur County,Decatur,County,Kansas
"Dickinson County, Kansas",Dickinson County,Dickinson,County,Kansas
"Doniphan County, Kansas",Doniphan County,Doniphan,County,Kansas
"Douglas County, Kansas",Douglas County,Douglas,County,Kansas
"Edwards County, Kansas",Edwards County,Edwards,County,Kansas
"Elk County, Kansas",Elk County,Elk,County,Kansas
"Ellis County, Kansas",Ellis County,Ellis,County,Kansas
"Ellsworth County, Kansas",Ellsworth County,Ellsworth,County,Kansas
"Finney County, Kansas",Finney County,Finney,County,Kansas
"Ford County, Kansas",Ford County,Ford,County,Kansas
"Franklin County, Kansas",Franklin County,Franklin,County,Kansas
"Geary County, Kansas",Geary County,Geary,County,Kansas
"Gove County, Kansas",Gove County,Gove,County,Kansas
"Graham County, Kansas",Graham County,Graham,County,Kansas
"Grant County, Kansas",Grant County,Grant,County,Kansas
"Gray County, Kansas",Gray County,Gray,County,Kansas
"Greeley County, Kansas",Greeley County,Greeley,County,Kansas
"Greenwood County, Kansas",Greenwood County,Greenwood,County,Kansas
"Hamilton County, Kansas",Hamilton County,Hamilton,County,Kansas
"Harper County, Kansas",Harper County,Harper,County,Kansas
"Harvey County, Kansas",Harvey County,Harvey,County,Kansas
"Haskell County, Kansas",Haskell County,Haskell,County,Kansas
"Hodgeman County, Kansas",Hodgeman County,Hodgeman,County,Kansas
"Jackson County, Kansas",Jackson County,Jackson,County,Kansas
"Jefferson County, Kansas",Jefferson County,Jefferson,County,Kansas
"Jewell County, Kansas",Jewell County,Jewell,County,Kansas
"Johnson County, Kansas",Johnson County,Johnson,County,Kansas
"Kearny County, Kansas",Kearny County,Kearny,County,Kansas
"Kingman County, Kansas",Kingman County,Kingman,County,Kansas
"Kiowa County, Kansas",Kiowa County,Kiowa,County,Kansas
"Labette County, Kansas",Labette County,Labette,County,Kansas
"Lane County, Kansas",Lane County,Lane,County,Kansas
"Leavenworth County, Kansas",Leavenworth County,Leavenworth,County,Kansas
"Lincoln County, Kansas",Lincoln County,Lincoln,County,Kansas
"Linn County, Kansas",Linn County,Linn,County,Kansas
"Logan County, Kansas",Logan County,Logan,County,Kansas
"Lyon County, Kansas",Lyon County,Lyon,County,Kansas
"McPherson County, Kansas",McPherson County,McPherson,County,Kansas
"Marion County, Kansas",Marion County,Marion,County,Kansas
"Marshall County, Kansas",Marshall County,Marshall,County,Kansas
"Meade County, Kansas",Meade County,Meade,County,Kansas
"Miami County, Kansas",Miami County,Miami,County,Kansas
"Mitchell County, Kansas",Mitchell County,Mitchell,County,Kansas
"Montgomery County, Kansas",Montgomery County,Montgomery,County,Kansas
"Morris County, Kansas",Morris County,Morris,County,Kansas
"Morton County, Kansas",Morton County,Morton,County,Kansas
"Nemaha County, Kansas",Nemaha County,Nemaha,County,Kansas
"Neosho County, Kansas",Neosho County,Neosho,County,Kansas
"Ness County, Kansas",Ness County,Ness,County,Kansas
"Norton County, Kansas",Norton County,Norton,County,Kansas
"Osage County, Kansas",Osage County,Osage,County,Kansas
"Osborne County, Kansas",Osborne County,Osborne,County,Kansas
"Ottawa County, Kansas",Ottawa County,Ottawa,County,Kansas
"Pawnee County, Kansas",Pawnee County,Pawnee,County,Kansas
"Phillips County, Kansas",Phillips County,Phillips,County,Kansas
"Pottawatomie County, Kansas",Pottawatomie County,Pottawatomie,County,Kansas
"Pratt County, Kansas",Pratt County,Pratt,County,Kansas
"Rawlins County, Kansas",Rawlins County,Rawlins,County,Kansas
"Reno County, Kansas",Reno County,Reno,County,Kansas
"Republic County, Kansas",Republic County,Republic,County,Kansas
"Rice County, Kansas",Rice County,Rice,County,Kansas
"Riley County, Kansas",Riley County,Riley,County,Kansas
"Rooks County, Kansas",Rooks County,Rooks,County,Kansas
"Rush County, Kansas",Rush County,Rush,County,Kansas
"Russell County, Kansas",Russell County,Russell,County,Kansas
"Saline County, Kansas",Saline County,Saline,County,Kansas
"Scott County, Kansas",Scott County,Scott,County,Kansas
"Sedgwick County, Kansas",Sedgwick County,Sedgwick,County,Kansas
"Seward County, Kansas",Seward County,Seward,County,Kansas
"Shawnee County, Kansas",Shawnee County,Shawnee,County,Kansas
"Sheridan County, Kansas",Sheridan County,Sheridan,County,Kansas
"Sherman County, Kansas",Sherman County,Sherman,County,Kansas
"Smith County, Kansas",Smith County,Smith,County,Kansas
"Stafford County, Kansas",Stafford County,Stafford,County,Kansas
"Stanton County, Kansas",Stanton County,Stanton,County,Kansas
"Stevens County, Kansas",Stevens County,Stevens,County,Kansas
"Sumner County, Kansas",Sumner County,Sumner,County,Kansas
"Thomas County, Kansas",Thomas County,Thomas,County,Kansas
"Trego County, Kansas",Trego County,Trego,County,Kansas
"Wabaunsee County, Kansas",Wabaunsee County,Wabaunsee,County,Kansas
"Wallace County, Kansas",Wallace County,Wallace,County,Kansas
"Washington County, Kansas",Washington County,Washington,County,Kansas
"Wichita County, Kansas",Wichita County,Wichita,County,Kansas
"Wilson County, Kansas",Wilson County,Wilson,County,Kansas
"Woodson County, Kansas",Woodson County,Woodson,County,Kansas
"Wyandotte County, Kansas",Wyandotte County,Wyandotte,County,Kansas
"Adair County, Kentucky",Adair County,Adair,County,Kentucky
"Allen County, Kentucky",Allen County,Allen,County,Kentucky
"Anderson County, Kentucky",Anderson County,Anderson,County,Kentucky
"Ballard County, Kentucky",Ballard County,Ballard,County,Kentucky
"Barren County, Kentucky",Barren County,Barren,County,Kentucky
"Bath County, Kentucky",Bath County,Bath,County,Kentucky
"Bell County, Kentucky",Bell County,Bell,County,Kentucky
"Boone County, Kentucky",Boone County,Boone,County,Kentucky
"Bourbon County, Kentucky",Bourbon County,Bourbon,County,Kentucky
"Boyd County, Kentucky",Boyd County,Boyd,County,Kentucky
"Boyle County, Kentucky",Boyle County,Boyle,County,Kentucky
"Bracken County, Kentucky",Bracken County,Bracken,County,Kentucky
"Breathitt County, Kentucky",Breathitt County,Breathitt,County,Kentucky
"Breckinridge County, Kentucky",Breckinridge County,Breckinridge,County,Kentucky
"Bullitt County, Kentucky",Bullitt County,Bullitt,County,Kentucky
"Butler County, Kentucky",Butler County,Butler,County,Kentucky
"Caldwell County, Kentucky",Caldwell County,Caldwell,County,Kentucky
"Calloway County, Kentucky",Calloway County,Calloway,County,Kentucky
"Campbell County, Kentucky",Campbell County,Campbell,County,Kentucky
"Carlisle County, Kentucky",Carlisle County,Carlisle,County,Kentucky
"Carroll County, Kentucky",Carroll County,Carroll,County,Kentucky
"Carter County, Kentucky",Carter County,Carter,County,Kentucky
"Casey County, Kentucky",Casey County,Casey,County,Kentucky
"Christian County, Kentucky",Christian County,Christian,County,Kentucky
"Clark County, Kentucky",Clark County,Clark,County,Kentucky
"Clay County, Kentucky",Clay County,Clay,County,Kentucky
"Clinton County, Kentucky",Clinton County,Clinton,County,Kentucky
"Crittenden County, Kentucky",Crittenden County,Crittenden,County,Kentucky
"Cumberland County, Kentucky",Cumberland County,Cumberland,County,Kentucky
"Daviess County, Kentucky",Daviess County,Daviess,County,Kentucky
"Edmonson County, Kentucky",Edmonson County,Edmonson,County,Kentucky
"Elliott County, Kentucky",Elliott County,Elliott,County,Kentucky
"Estill County, Kentucky",Estill County,Estill,County,Kentucky
"Fayette County, Kentucky",Fayette County,Fayette,County,Kentucky
"Fleming County, Kentucky",Fleming County,Fleming,County,Kentucky
"Floyd County, Kentucky",Floyd County,Floyd,County,Kentucky
"Franklin County, Kentucky",Franklin County,Franklin,County,Kentucky
"Fulton County, Kentucky",Fulton County,Fulton,County,Kentucky
"Gallatin County, Kentucky",Gallatin County,Gallatin,County,Kentucky
"Garrard County, Kentucky",Garrard County,Garrard,County,Kentucky
"Grant County, Kentucky",Grant County,Grant,County,Kentucky
"Graves County, Kentucky",Graves County,Graves,County,Kentucky
"Grayson County, Kentucky",Grayson County,Grayson,County,Kentucky
"Green County, Kentucky",Green County,Green,County,Kentucky
"Greenup County, Kentucky",Greenup County,Greenup,County,Kentucky
"Hancock County, Kentucky",Hancock County,Hancock,County,Kentucky
"Hardin County, Kentucky",Hardin County,Hardin,County,Kentucky
"Harlan County, Kentucky",Harlan County,Harlan,County,Kentucky
"Harrison County, Kentucky",Harrison County,Harrison,County,Kentucky
"Hart County, Kentucky",Hart County,Hart,County,Kentucky
"Henderson County, Kentucky",Henderson County,Henderson,County,Kentucky
"Henry County, Kentucky",Henry County,Henry,County,Kentucky
"Hickman County, Kentucky",Hickman County,Hickman,County,Kentucky
"Hopkins County, Kentucky",Hopkins County,Hopkins,County,Kentucky
"Jackson County, Kentucky",Jackson County,Jackson,County,Kentucky
"Jefferson County, Kentucky",Jefferson County,Jefferson,County,Kentucky
"Jessamine County, Kentucky",Jessamine County,Jessamine,County,Kentucky
"Johnson County, Kentucky",Johnson County,Johnson,County,Kentucky
"Kenton County, Kentucky",Kenton County,Kenton,County,Kentucky
"Knott County, Kentucky",Knott County,Knott,County,Kentucky
"Knox County, Kentucky",Knox County,Knox,County,Kentucky
"Larue County, Kentucky",Larue County,Larue,County,Kentucky
"Laurel County, Kentucky",Laurel County,Laurel,County,Kentucky
"Lawrence County, Kentucky",Lawrence County,Lawrence,County,Kentucky
"Lee County, Kentucky",Lee County,Lee,County,Kentucky
"Leslie County, Kentucky",Leslie County,Leslie,County,Kentucky
"Letcher County, Kentucky",Letcher County,Letcher,County,Kentucky
"Lewis County, Kentucky",Lewis County,Lewis,County,Kentucky
"Lincoln County, Kentucky",Lincoln County,Lincoln,County,Kentucky
"Livingston County, Kentucky",Livingston County,Livingston,County,Kentucky
"Logan County, Kentucky",Logan County,Logan,County,Kentucky
"Lyon County, Kentucky",Lyon County,Lyon,County,Kentucky
"McCracken County, Kentucky",McCracken County,McCracken,County,Kentucky
"McCreary County, Kentucky",McCreary County,McCreary,County,Kentucky
"McLean County, Kentucky",McLean County,McLean,County,Kentucky
"Madison County, Kentucky",Madison County,Madison,County,Kentucky
"Magoffin County, Kentucky",Magoffin County,Magoffin,County,Kentucky
"Marion County, Kentucky",Marion County,Marion,County,Kentucky
"Marshall County, Kentucky",Marshall County,Marshall,County,Kentucky
"Martin County, Kentucky",Martin County,Martin,County,Kentucky
"Mason County, Kentucky",Mason County,Mason,County,Kentucky
"Meade County, Kentucky",Meade County,Meade,County,Kentucky
"Menifee County, Kentucky",Menifee County,Menifee,County,Kentucky
"Mercer County, Kentucky",Mercer County,Mercer,County,Kentucky
"Metcalfe County, Kentucky",Metcalfe County,Metcalfe,County,Kentucky
"Monroe County, Kentucky",Monroe County,Monroe,County,Kentucky
"Montgomery County, Kentucky",Montgomery County,Montgomery,County,Kentucky
"Morgan County, Kentucky",Morgan County,Morgan,County,Kentucky
"Muhlenberg County, Kentucky",Muhlenberg County,Muhlenberg,County,Kentucky
"Nelson County, Kentucky",Nelson County,Nelson,County,Kentucky
"Nicholas County, Kentucky",Nicholas County,Nicholas,County,Kentucky
"Ohio County, Kentucky",Ohio County,Ohio,County,Kentucky
"Oldham County, Kentucky",Oldham County,Oldham,County,Kentucky
"Owen County, Kentucky",Owen County,Owen,County,Kentucky
"Owsley County, Kentucky",Owsley County,Owsley,County,Kentucky
"Pendleton County, Kentucky",Pendleton County,Pendleton,County,Kentucky
"Perry County, Kentucky",Perry County,Perry,County,Kentucky
"Pike County, Kentucky",Pike County,Pike,County,Kentucky
"Powell County, Kentucky",Powell County,Powell,County,Kentucky
"Pulaski County, Kentucky",Pulaski County,Pulaski,County,Kentucky
"Robertson County, Kentucky",Robertson County,Robertson,County,Kentucky
"Rockcastle County, Kentucky",Rockcastle County,Rockcastle,County,Kentucky
"Rowan County, Kentucky",Rowan County,Rowan,County,Kentucky
"Russell County, Kentucky",Russell County,Russell,County,Kentucky
"Scott County, Kentucky",Scott County,Scott,County,Kentucky
"Shelby County, Kentucky",Shelby County,Shelby,County,Kentucky
"Simpson County, Kentucky",Simpson County,Simpson,County,Kentucky
"Spencer County, Kentucky",Spencer County,Spencer,County,Kentucky
"Taylor County, Kentucky",Taylor County,Taylor,County,Kentucky
"Todd County, Kentucky",Todd County,Todd,County,Kentucky
"Trigg County, Kentucky",Trigg County,Trigg,County,Kentucky
"Trimble County, Kentucky",Trimble County,Trimble,County,Kentucky
"Union County, Kentucky",Union County,Union,County,Kentucky
"Warren County, Kentucky",Warren County,Warren,County,Kentucky
"Washington County, Kentucky",Washington County,Washington,County,Kentucky
"Wayne County, Kentucky",Wayne County,Wayne,County,Kentucky
"Webster County, Kentucky",Webster County,Webster,County,Kentucky
"Whitley County, Kentucky",Whitley County,Whitley,County,Kentucky
"Wolfe County, Kentucky",Wolfe County,Wolfe,County,Kentucky
"Woodford County, Kentucky",Woodford County,Woodford,County,Kentucky
"Acadia Parish, Louisiana",Acadia Parish,Acadia,Parish,Louisiana
"Allen Parish, Louisiana",Allen Parish,Allen,Parish,Louisiana
"Ascension Parish, Louisiana",Ascension Parish,Ascension,Parish,Louisiana
"Assumption Parish, Louisiana",Assumption Parish,Assumption,Parish,Louisiana
"Avoyelles Parish, Louisiana",Avoyelles Parish,Avoyelles,Parish,Louisiana
"Beauregard Parish, Louisiana",Beauregard Parish,Beauregard,Parish,Louisiana
"Bienville Parish, Louisiana",Bienville Parish,Bienville,Parish,Louisiana
"Bossier Parish, Louisiana",Bossier Parish,Bossier,Parish,Louisiana
"Caddo Parish, Louisiana",Caddo Parish,Caddo,Parish,Louisiana
"Calcasieu Parish, Louisiana",Calcasieu Parish,Calcasieu,Parish,Louisiana
"Caldwell Parish, Louisiana",Caldwell Parish,Caldwell,Parish,Louisiana
"Cameron Parish, Louisiana",Cameron Parish,Cameron,Parish,Louisiana
"Catahoula Parish, Louisiana",Catahoula Parish,Catahoula,Parish,Louisiana
"Claiborne Parish, Louisiana",Claiborne Parish,Claiborne,Parish,Louisiana
"Concordia Parish, Louisiana",Concordia Parish,Concordia,Parish,Louisiana
"De Soto Parish, Louisiana",De Soto Parish,De Soto,Parish,Louisiana
"East Baton Rouge Parish, Louisiana",East Baton Rouge Parish,East Baton Rouge,Parish,Louisiana
"East Carroll Parish, Louisiana",East Carroll Parish,East Carroll,Parish,Louisiana
"East Feliciana Parish, Louisiana",East Feliciana Parish,East Feliciana,Parish,Louisiana
"Evangeline Parish, Louisiana",Evangeline Parish,Evangeline,Parish,Louisiana
"Franklin Parish, Louisiana",Franklin Parish,Franklin,Parish,Louisiana
"Grant Parish, Louisiana",Grant Parish,Grant,Parish,Louisiana
"Iberia Parish, Louisiana",Iberia Parish,Iberia,Parish,Louisiana
"Iberville Parish, Louisiana",Iberville Parish,Iberville,Parish,Louisiana
"Jackson Parish, Louisiana",Jackson Parish,Jackson,Parish,Louisiana
"Jefferson Parish, Louisiana",Jefferson Parish,Jefferson,Parish,Louisiana
"Jefferson Davis Parish, Louisiana",Jefferson Davis Parish,Jefferson Davis,Parish,Louisiana
"Lafayette Parish, Louisiana",Lafayette Parish,Lafayette,Parish,Louisiana
"Lafourche Parish, Louisiana",Lafourche Parish,Lafourche,Parish,Louisiana
"LaSalle Parish, Louisiana",LaSalle Parish,LaSalle,Parish,Louisiana
"Lincoln Parish, Louisiana",Lincoln Parish,Lincoln,Parish,Louisiana
"Livingston Parish, Louisiana",Livingston Parish,Livingston,Parish,Louisiana
"Madison Parish, Louisiana",Madison Parish,Madison,Parish,Louisiana
"Morehouse Parish, Louisiana",Morehouse Parish,Morehouse,Parish,Louisiana
"Natchitoches Parish, Louisiana",Natchitoches Parish,Natchitoches,Parish,Louisiana
"Orleans Parish, Louisiana",Orleans Parish,Orleans,Parish,Louisiana
"Ouachita Parish, Louisiana",Ouachita Parish,Ouachita,Parish,Louisiana
"Plaquemines Parish, Louisiana",Plaquemines Parish,Plaquemines,Parish,Louisiana
"Pointe Coupee Parish, Louisiana",Pointe Coupee Parish,Pointe Coupee,Parish,Louisiana
"Rapides Parish, Louisiana",Rapides Parish,Rapides,Parish,Louisiana
"Red River Parish, Louisiana",Red River Parish,Red River,Parish,Louisiana
"Richland Parish, Louisiana",Richland Parish,Richland,Parish,Louisiana
"Sabine Parish, Louisiana",Sabine Parish,Sabine,Parish,Louisiana
"St. Bernard Parish, Louisiana",St. Bernard Parish,St. Bernard,Parish,Louisiana
"St. Charles Parish, Louisiana",St. Charles Parish,St. Charles,Parish,Louisiana
"St. Helena Parish, Louisiana",St. Helena Parish,St. Helena,Parish,Louisiana
"St. James Parish, Louisiana",St. James Parish,St. James,Parish,Louisiana
"St. John the Baptist Parish, Louisiana",St. John the Baptist Parish,St. John the Baptist,Parish,Louisiana
"St. Landry Parish, Louisiana",St. Landry Parish,St. Landry,Parish,Louisiana
"St. Martin Parish, Louisiana",St. Martin Parish,St. Martin,Parish,Louisiana
"St. Mary Parish, Louisiana",St. Mary Parish,St. Mary,Parish,Louisiana
"St. Tammany Parish, Louisiana",St. Tammany Parish,St. Tammany,Parish,Louisiana
"Tangipahoa Parish, Louisiana",Tangipahoa Parish,Tangipahoa,Parish,Louisiana
"Tensas Parish, Louisiana",Tensas Parish,Tensas,Parish,Louisiana
"Terrebonne Parish, Louisiana",Terrebonne Parish,Terrebonne,Parish,Louisiana
"Union Parish, Louisiana",Union Parish,Union,Parish,Louisiana
"Vermilion Parish, Louisiana",Vermilion Parish,Vermilion,Parish,Louisiana
"Vernon Parish, Louisiana",Vernon Parish,Vernon,Parish,Louisiana
"Washington Parish, Louisiana",Washington Parish,Washington,Parish,Louisiana
"Webster Parish, Louisiana",Webster Parish,Webster,Parish,Louisiana
"West Baton Rouge Parish, Louisiana",West Baton Rouge Parish,West Baton Rouge,Parish,Louisiana
"West Carroll Parish, Louisiana",West Carroll Parish,West Carroll,Parish,Louisiana
"West Feliciana Parish, Louisiana",West Feliciana Parish,West Feliciana,Parish,Louisiana
"Winn Parish, Louisiana",Winn Parish,Winn,Parish,Louisiana
"Androscoggin County, Maine",Androscoggin County,Androscoggin,County,Maine
"Aroostook County, Maine",Aroostook County,Aroostook,County,Maine
"Cumberland County, Maine",Cumberland County,Cumberland,County,Maine
"Franklin County, Maine",Franklin County,Franklin,County,Maine
"Hancock County, Maine",Hancock County,Hancock,County,Maine
"Kennebec County, Maine",Kennebec County,Kennebec,County,Maine
"Knox County, Maine",Knox County,Knox,County,Maine
"Lincoln County, Maine",Lincoln County,Lincoln,County,Maine
"Oxford County, Maine",Oxford County,Oxford,County,Maine
"Penobscot County, Maine",Penobscot County,Penobscot,County,Maine
"Piscataquis County, Maine",Piscataquis County,Piscataquis,County,Maine
"Sagadahoc County, Maine",Sagadahoc County,Sagadahoc,County,Maine
"Somerset County, Maine",Somerset County,Somerset,County,Maine
"Waldo County, Maine",Waldo County,Waldo,County,Maine
"Washington County, Maine",Washington County,Washington,County,Maine
"York County, Maine",York County,York,County,Maine
"Allegany County, Maryland",Allegany County,Allegany,County,Maryland
"Anne Arundel County, Maryland",Anne Arundel County,Anne Arundel,County,Maryland
"Baltimore County, Maryland",Baltimore County,Baltimore,County,Maryland
"Calvert County, Maryland",Calvert County,Calvert,County,Maryland
"Caroline County, Maryland",Caroline County,Caroline,County,Maryland
"Carroll County, Maryland",Carroll County,Carroll,County,Maryland
"Cecil County, Maryland",Cecil County,Cecil,County,Maryland
"Charles County, Maryland",Charles County,Charles,County,Maryland
"Dorchester County, Maryland",Dorchester County,Dorchester,County,Maryland
"Frederick County, Maryland",Frederick County,Frederick,County,Maryland
"Garrett County, Maryland",Garrett County,Garrett,County,Maryland
"Harford County, Maryland",Harford County,Harford,County,Maryland
"Howard County, Maryland",Howard County,Howard,County,Maryland
"Kent County, Maryland",Kent County,Kent,County,Maryland
"Montgomery County, Maryland",Montgomery County,Montgomery,County,Maryland
"Prince George's County, Maryland",Prince George's County,Prince George's,County,Maryland
"Queen Anne's County, Maryland",Queen Anne's County,Queen Anne's,County,Maryland
"St. Mary's County, Maryland",St. Mary's County,St. Mary's,County,Maryland
"Somerset County, Maryland",Somerset County,Somerset,County,Maryland
"Talbot County, Maryland",Talbot County,Talbot,County,Maryland
"Washington County, Maryland",Washington County,Washington,County,Maryland
"Wicomico County, Maryland",Wicomico County,Wicomico,County,Maryland
"Worcester County, Maryland",Worcester County,Worcester,County,Maryland
"Baltimore city, Maryland",Baltimore city,Baltimore,city,Maryland
"Barnstable County, Massachusetts",Barnstable County,Barnstable,County,Massachusetts
"Berkshire County, Massachusetts",Berkshire County,Berkshire,County,Massachusetts
"Bristol County, Massachusetts",Bristol County,Bristol,County,Massachusetts
"Dukes County, Massachusetts",Dukes County,Dukes,County,Massachusetts
"Essex County, Massachusetts",Essex County,Essex,County,Massachusetts
"Franklin County, Massachusetts",Franklin County,Franklin,County,Massachusetts
"Hampden County, Massachusetts",Hampden County,Hampden,County,Massachusetts
"Hampshire County, Massachusetts",Hampshire County,Hampshire,County,Massachusetts
"Middlesex County, Massachusetts",Middlesex County,Middlesex,County,Massachusetts
"Nantucket County, Massachusetts",Nantucket County,Nantucket,County,Massachusetts
"Norfolk County, Massachusetts",Norfolk County,Norfolk,County,Massachusetts
"Plymouth County, Massachusetts",Plymouth County,Plymouth,County,Massachusetts
"Suffolk County, Massachusetts",Suffolk County,Suffolk,County,Massachusetts
"Worcester County, Massachusetts",Worcester County,Worcester,County,Massachusetts
"Alcona County, Michigan",Alcona County,Alcona,County,Michigan
"Alger County, Michigan",Alger County,Alger,County,Michigan
"Allegan County, Michigan",Allegan County,Allegan,County,Michigan
"Alpena County, Michigan",Alpena County,Alpena,County,Michigan
"Antrim County, Michigan",Antrim County,Antrim,County,Michigan
"Arenac County, Michigan",Arenac County,Arenac,County,Michigan
"Baraga County, Michigan",Baraga County,Baraga,County,Michigan
"Barry County, Michigan",Barry County,Barry,County,Michigan
"Bay County, Michigan",Bay County,Bay,County,Michigan
"Benzie County, Michigan",Benzie County,Benzie,County,Michigan
"Berrien County, Michigan",Berrien County,Berrien,County,Michigan
"Branch County, Michigan",Branch County,Branch,County,Michigan
"Calhoun County, Michigan",Calhoun County,Calhoun,County,Michigan
"Cass County, Michigan",Cass County,Cass,County,Michigan
"Charlevoix County, Michigan",Charlevoix County,Charlevoix,County,Michigan
"Cheboygan County, Michigan",Cheboygan County,Cheboygan,County,Michigan
"Chippewa County, Michigan",Chippewa County,Chippewa,County,Michigan
"Clare County, Michigan",Clare County,Clare,County,Michigan
"Clinton County, Michigan",Clinton County,Clinton,County,Michigan
"Crawford County, Michigan",Crawford County,Crawford,County,Michigan
"Delta County, Michigan",Delta County,Delta,County,Michigan
"Dickinson County, Michigan",Dickinson County,Dickinson,County,Michigan
"Eaton County, Michigan",Eaton County,Eaton,County,Michigan
"Emmet County, Michigan",Emmet County,Emmet,County,Michigan
"Genesee County, Michigan",Genesee County,Genesee,County,Michigan
"Gladwin County, Michigan",Gladwin County,Gladwin,County,Michigan
"Gogebic County, Michigan",Gogebic County,Gogebic,County,Michigan
"Grand Traverse County, Michigan",Grand Traverse County,Grand Traverse,County,Michigan
"Gratiot County, Michigan",Gratiot County,Gratiot,County,Michigan
"Hillsdale County, Michigan",Hillsdale County,Hillsdale,County,Michigan
"Houghton County, Michigan",Houghton County,Houghton,County,Michigan
"Huron County, Michigan",Huron County,Huron,County,Michigan
"Ingham County, Michigan",Ingham County,Ingham,County,Michigan
"Ionia County, Michigan",Ionia County,Ionia,County,Michigan
"Iosco County, Michigan",Iosco County,Iosco,County,Michigan
"Iron County, Michigan",Iron County,Iron,County,Michigan
"Isabella County, Michigan",Isabella County,Isabella,County,Michigan
"Jackson County, Michigan",Jackson County,Jackson,County,Michigan
"Kalamazoo County, Michigan",Kalamazoo County,Kalamazoo,County,Michigan
"Kalkaska County, Michigan",Kalkaska County,Kalkaska,County,Michigan
"Kent County, Michigan",Kent County,Kent,County,Michigan
"Keweenaw County, Michigan",Keweenaw County,Keweenaw,County,Michigan
"Lake County, Michigan",Lake County,Lake,County,Michigan
"Lapeer County, Michigan",Lapeer County,Lapeer,County,Michigan
"Leelanau County, Michigan",Leelanau County,Leelanau,County,Michigan
"Lenawee County, Michigan",Lenawee County,Lenawee,County,Michigan
"Livingston County, Michigan",Livingston County,Livingston,County,Michigan
"Luce County, Michigan",Luce County,Luce,County,Michigan
"Mackinac County, Michigan",Mackinac County,Mackinac,County,Michigan
"Macomb County, Michigan",Macomb County,Macomb,County,Michigan
"Manistee County, Michigan",Manistee County,Manistee,County,Michigan
"Marquette County, Michigan",Marquette County,Marquette,County,Michigan
"Mason County, Michigan",Mason County,Mason,County,Michigan
"Mecosta County, Michigan",Mecosta County,Mecosta,County,Michigan
"Menominee County, Michigan",Menominee County,Menominee,County,Michigan
